epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,1552.85,0.79816,1.37231,0.93427,1.18799,0,0.92534,0.84239,0.93663,0.72894,0.91016,0.88523,0.94627,0.75709,0.74211,0.98812,0.64809,1.16395,0,0.000911,0.000911,0.000911
57,1580.4,0.80538,1.254,0.88054,1.18696,0,0.85263,0.93204,0.93377,0.7239,0.86853,0.93204,0.94747,0.74642,0.70103,1.01557,0.68609,1.10293,0,0.0008912,0.0008912,0.0008912
58,1608.17,0.80916,1.30381,0.89343,1.20286,0,0.92832,0.8932,0.9444,0.7296,0.92832,0.8932,0.93864,0.75209,0.74332,0.99701,0.73807,1.15839,0,0.0008714,0.0008714,0.0008714
59,1635.96,0.78446,1.3617,0.86802,1.18233,0,0.86611,0.87928,0.92587,0.74943,0.90425,0.91693,0.9549,0.7767,0.6816,0.91428,0.56663,1.08848,0,0.0008516,0.0008516,0.0008516
60,1663.7,0.77406,1.30828,0.83674,1.17187,0,0.86658,0.91262,0.91968,0.73353,0.8758,0.92233,0.92076,0.72863,0.60483,1.06344,0.81272,1.00893,0,0.0008318,0.0008318,0.0008318
61,1691.25,0.76398,1.2972,0.85654,1.1678,0,0.90242,0.89785,0.94133,0.74791,0.91213,0.90703,0.95281,0.76068,0.72842,1.03177,0.69651,1.18969,0,0.000812,0.000812,0.000812
62,1718.95,0.75711,1.29357,0.8431,1.15781,0,0.84581,0.90538,0.93748,0.73734,0.84581,0.90538,0.94043,0.76365,0.70002,0.95155,0.59873,1.10735,0,0.0007922,0.0007922,0.0007922
63,1746.8,0.75981,1.2236,0.84547,1.15247,0,0.89811,0.8558,0.93199,0.73502,0.91843,0.87451,0.94913,0.75577,0.64077,0.94436,0.6958,1.0736,0,0.0007724,0.0007724,0.0007724
64,1774.52,0.74516,1.29979,0.83821,1.1536,0,0.8739,0.8932,0.93345,0.74933,0.90138,0.87379,0.93739,0.756,0.58901,0.99138,0.60189,1.02393,0,0.0007526,0.0007526,0.0007526
65,1802.11,0.72826,1.27809,0.79836,1.15706,0,0.82549,0.8726,0.90876,0.7137,0.84347,0.88936,0.93019,0.73269,0.63886,1.01573,0.79023,1.05102,0,0.0007328,0.0007328,0.0007328
